"Oxs_RungeKuttaEvolve:evolve:Total energy","Oxs_RungeKuttaEvolve:evolve:Energy calc count","Oxs_RungeKuttaEvolve:evolve:Max dm/dt","Oxs_RungeKuttaEvolve:evolve:dE/dt","Oxs_RungeKuttaEvolve:evolve:Delta E","Oxs_CubicAnisotropy::Energy","Oxs_UniformExchange::Energy","Oxs_UniformExchange::Max Spin Ang","Oxs_UniformExchange::Stage Max Spin Ang","Oxs_UniformExchange::Run Max Spin Ang","Oxs_ScriptUZeeman::Energy","Oxs_ScriptUZeeman::B","Oxs_ScriptUZeeman::Bx","Oxs_ScriptUZeeman::By","Oxs_ScriptUZeeman::Bz","Oxs_Demag::Energy","Oxs_TimeDriver::Iteration","Oxs_TimeDriver::Stage iteration","Oxs_TimeDriver::Stage","Oxs_TimeDriver::mx","Oxs_TimeDriver::my","Oxs_TimeDriver::mz","Oxs_TimeDriver::Last time step","Oxs_TimeDriver::Simulation time"
2.7730556310436897e-17,1,6304.8357849842196,-1.7735408319010952e-08,0,0,7.8000000000000001e-18,90.000000000000014,90.000000000000014,90.000000000000014,0,0,0,0,0,1.9930556310436898e-17,0,0,0,0,0.050000000000000003,0,0,0
2.7730529587115191e-17,7,6304.8294955948095,-1.7735361197858164e-08,-2.6723321706493498e-23,0,7.7999822348927296e-18,89.99987784287589,90.000000000000014,90.000000000000014,-9.2691738731187483e-39,7.6141167125044218e-06,7.6141167125044218e-06,0,0,1.9930547352222463e-17,1,1,0,4.9670537312825522e-16,0.050000005725793592,5.0459688779961689e-14,1.5067799263900698e-15,1.5067799263900698e-15
2.7730422694532197e-17,13,6304.8042141233273,-1.7735175448048919e-08,-1.068925829952965e-22,0,7.7999107984797367e-18,89.999376739389561,90.000000000000014,90.000000000000014,-1.1915035904718621e-36,3.8070578102820754e-05,3.8070578102820754e-05,0,0,1.9930511896052459e-17,2,2,0,1.3050933678944906e-14,0.050000027189540504,1.2614892151319169e-12,6.0271197055602791e-15,7.5338996319503486e-15
2.7729995134999983e-17,19,6304.7011058740245,-1.7734476206335388e-08,-4.2755953221274531e-22,0,7.7996190364803869e-18,89.99717272923489,90.000000000000014,90.000000000000014,-9.7501795739427063e-35,0.00015989603056590227,0.00015989603056590227,0,0,1.9930376098519596e-17,3,3,0,2.5408342480659486e-13,0.050000090015194246,2.2252424347091923e-11,2.4108478822241116e-14,3.1642378454191468e-14
2.7728285040127912e-17,25,6304.2569645291596,-1.773237942057328e-08,-1.7100948720708342e-21,0,7.7983556825692095e-18,89.985694605167552,90.000000000000014,90.000000000000014,-8.9117079631225017e-33,0.00064717198363163815,0.00064717198363163815,0,0,1.9929929357558712e-17,4,4,0,5.7376610736052198e-12,0.049999972972217033,3.6454159145857074e-10,9.6433915288964465e-14,1.2807629374315595e-13
2.7721445061826566e-17,31,6301.9718679220614,-1.773520312752511e-08,-6.8399783013474107e-21,0,7.7917571065229971e-18,89.896754390306185,90.000000000000014,90.000000000000014,-1.2057398547952483e-30,0.0025946101312373862,0.0025946101312373862,0,0,1.9929687955304774e-17,5,5,0,1.9362893886864185e-10,0.049993626208258632,5.8631971320877108e-09,3.8573566115585786e-13,5.1381195489901386e-13
2.7693971895885866e-17,37,6284.1711726912627,-1.7927131762352179e-08,-2.7473165940697856e-20,0,7.7400573019011132e-18,88.854375347194491,90.000000000000014,90.000000000000014,-2.344982989694297e-28,0.010277941329856611,0.010277941329856611,0,0,1.995391459421925e-17,6,6,0,9.506536514187853e-09,0.049876871567302285,9.3141193088364765e-08,1.5429426446234314e-12,2.0567545995224453e-12
2.7610266906351266e-17,43,6109.4664278492346,-2.00578162644903e-08,-8.3704989534600358e-20,0,7.3498613630002746e-18,79.735803668171187,90.000000000000014,90.000000000000014,-1.859929197265174e-26,0.029479037033618406,0.029479037033618406,0,0,2.0260405561950282e-17,7,7,0,2.6288867511165642e-07,0.048895775991122971,8.7629427244995899e-07,4.4912346066372341e-12,6.5479892061596798e-12
2.7507898893720505e-17,49,5588.9965735545875,-2.3164379028830139e-08,-1.0236801263076044e-19,0,6.7690919590067319e-18,62.362285981628347,90.000000000000014,90.000000000000014,-1.0975617086726924e-25,0.039767843258499844,0.039767843258499844,0,0,2.0738807044469945e-17,8,8,0,1.149967765736704e-06,0.047358415150413356,2.2700148084651543e-06,4.7676531694779862e-12,1.1315642375637666e-11
2.7387689542652781e-17,55,5001.9572098359922,-2.4438922981614925e-08,-1.202093510677256e-19,0,6.4434069445819502e-18,53.535200698887827,90.000000000000014,90.000000000000014,-2.4281834172268761e-25,0.035394356312630486,0.035394356312630486,0,0,2.0944282840889172e-17,9,9,0,2.8584870468421528e-06,0.045066123286840516,3.8243811271826906e-06,5.1198103931379815e-12,1.6435452768775647e-11
2.7268811519506429e-17,67,5536.8110301801416,-2.4733169692286203e-08,-1.1887802314635248e-19,0,6.3129925375687133e-18,51.014154078475244,90.000000000000014,90.000000000000014,-2.0664484951258799e-25,0.017658264310880706,0.017658264310880706,0,0,2.0955819188582563e-17,10,10,0,4.8760183398518713e-06,0.041642972018494984,4.7682211287018319e-06,4.9467602130280255e-12,2.1382212981803674e-11
2.7157643441802567e-17,73,5418.267495658024,-2.4107166876084581e-08,-1.1116807770386257e-19,0,6.4190120634810667e-18,57.888288188658642,90.000000000000014,90.000000000000014,7.8847342595417427e-26,0.005038391849213902,-0.005038391849213902,0,0,2.0738631299474156e-17,11,11,0,6.5205447289689135e-06,0.037651063741202362,4.9288877207678886e-06,4.6174765478286217e-12,2.5999689529632297e-11
2.7057431286466679e-17,79,4724.9477861981077,-2.3114478288324815e-08,-1.0021215533588525e-19,0,6.6439405922867057e-18,61.73725850984416,90.000000000000014,90.000000000000014,4.490269663648939e-25,0.024931094162547855,-0.024931094162547855,0,0,2.0413490245153008e-17,12,12,0,7.5044668355491018e-06,0.033469007447808077,4.5058559472509419e-06,4.3218482314275165e-12,3.0321537761059814e-11
2.6962502791362007e-17,85,4814.7680660077931,-2.2907941724361751e-08,-9.4928495104672698e-20,0,6.7411924397541447e-18,59.985886198203559,90.000000000000014,90.000000000000014,6.9690724874541406e-25,0.037409725654118063,-0.037409725654118063,0,0,2.0221309654700615e-17,13,13,0,7.7620997008712343e-06,0.029080782840086986,3.8373219142290811e-06,4.1898765887471201e-12,3.4511414349806934e-11
2.6868053657050854e-17,91,4952.6689663688157,-2.2019481737606638e-08,-9.444913431115404e-20,0,6.9850452935285167e-18,62.180241887551048,90.000000000000014,90.000000000000014,7.0281127932665531e-25,0.039703426089644472,-0.039703426089644472,0,0,1.9883007660711058e-17,14,14,0,7.3756363591644917e-06,0.024680405474279965,3.2460025888806318e-06,4.2560218790840178e-12,3.8767436228890949e-11
2.6778964427797187e-17,97,5038.4300067295335,-2.0931490846980641e-08,-8.9089229253666715e-20,0,7.3562702535386291e-18,69.648253973445108,90.000000000000014,90.000000000000014,4.8652138805656602e-25,0.030967862744763344,-0.030967862744763344,0,0,1.942269368773717e-17,15,15,0,6.5460521669064957e-06,0.020611737459339224,2.89092044041754e-06,4.2376263663485514e-12,4.30050625952395e-11
2.6693428778742573e-17,103,4842.8738080624225,-2.0946544561845119e-08,-8.5535649054614477e-20,0,7.6124438373023422e-18,75.227589237700784,90.000000000000014,90.000000000000014,1.8788624729424951e-25,0.01399462515881437,-0.01399462515881437,0,0,1.9080984753553981e-17,16,16,0,5.5940002311269446e-06,0.017089323618298156,2.8711091205132833e-06,4.1663094440157262e-12,4.7171372039255227e-11
2.6608920899851899e-17,109,4363.8041343693094,-2.07430829653091e-08,-8.4507878890672886e-20,0,7.974734635958549e-18,79.60723118940804,90.000000000000014,90.000000000000014,-7.5573998202583985e-26,0.0064431636713778578,0.0064431636713778578,0,0,1.8634186339467348e-17,17,17,0,4.8872211733677733e-06,0.014353264056106341,3.1303658202749649e-06,4.1092043324216434e-12,5.128057637167687e-11
2.652521946526402e-17,115,4818.9983985259705,-2.0571101538049925e-08,-8.3701434587877087e-20,0,8.4116401864295114e-18,74.684792858591777,90.000000000000014,90.000000000000014,-2.8546038905448353e-25,0.025314546626924408,0.025314546626924408,0,0,1.8113579564294899e-17,18,18,0,4.6985565464012326e-06,0.012388965538045624,3.488811826914219e-06,4.1381460114078237e-12,5.5418722383084693e-11
2.6441536171358677e-17,121,5060.9387285595622,-2.1441586218190041e-08,-8.3683293905344115e-20,0,8.695297934937598e-18,80.57333625403254,90.000000000000014,90.000000000000014,-4.743212614784093e-25,0.037341541212063879,0.037341541212063879,0,0,1.7746238710742341e-17,19,19,0,5.2926004802218328e-06,0.011224882873389101,3.8354359143379647e-06,4.0561177504079994e-12,5.9474840133492687e-11
2.6354927690363975e-17,127,5431.0778029183393,-2.1938033051854459e-08,-8.6608480994701467e-20,0,9.063060306639799e-18,90.60462492627947,90.60462492627947,90.60462492627947,-6.4785163659990661e-25,0.039889145306742785,0.039889145306742785,0,0,1.7291868031575812e-17,20,20,0,6.7672089698817579e-06,0.010869364778581043,4.075337340765036e-06,4.0348300963809953e-12,6.3509670229873685e-11
2.6259774077572332e-17,133,5469.9137028359919,-2.1716797167294357e-08,-9.5153612791644463e-20,0,9.5858845706848335e-18,101.72773122020843,101.72773122020843,101.72773122020843,-6.9206807082017031e-25,0.031056117974709745,0.031056117974709745,0,0,1.6673890198955571e-17,21,21,0,9.2851816318370409e-06,0.011300695535153988,4.0818435525545407e-06,4.4679567838078636e-12,6.7977627013681555e-11
2.6168768052151218e-17,145,5446.9019159374029,-2.2162475831096015e-08,-9.1006025421113444e-20,0,9.8120170643066168e-18,108.09750207169627,108.09750207169627,108.09750207169627,-4.0837630563446403e-25,0.013780872032052449,0.013780872032052449,0,0,1.6356751396220908e-17,22,22,0,1.2347316891069834e-05,0.012383668651072086,3.8658604887452987e-06,4.2388187097480452e-12,7.2216445723429604e-11
2.6081813618076098e-17,151,5438.1733274392082,-2.2561204538848534e-08,-8.6954434075122353e-20,0,9.8096316709408455e-18,124.86926871048784,124.86926871048784,124.86926871048784,2.1438205700661928e-25,0.0057930089360560665,-0.0057930089360560665,0,0,1.6272181732753192e-17,23,23,0,1.5419595942605908e-05,0.013958034767038972,3.4498912710829186e-06,3.9339525861246342e-12,7.6150398309554237e-11
2.5997761513554592e-17,157,5830.1694876833308,-2.2728065611067896e-08,-8.4052104521503504e-20,0,9.6730933309106161e-18,141.7870154403503,141.7870154403503,141.7870154403503,1.0063649737831707e-24,0.02324775868203742,-0.02324775868203742,0,0,1.6324667176279003e-17,24,24,0,1.8036953360140325e-05,0.015951571244235751,2.7481870495676808e-06,3.7549802785509111e-12,7.9905378588105143e-11
2.5915213890332928e-17,163,6205.5666002916541,-2.3284730507406977e-08,-8.2547623221663745e-20,0,9.3659695828328444e-18,157.60002416295083,157.60002416295083,157.60002416295083,1.6897807730815638e-24,0.035317417733370146,-0.035317417733370146,0,0,1.6549242617719309e-17,25,25,0,1.9935639899627618e-05,0.018246589298919084,1.8609359957798582e-06,3.6272086869520279e-12,8.3532587275057169e-11
2.5828171701661314e-17,169,5594.1032804178631,-2.3796403862840114e-08,-8.7042188671613336e-20,0,9.0252127812823946e-18,171.59225054243484,171.59225054243484,171.59225054243484,2.0411024439597716e-24,0.040194898580726626,-0.040194898580726626,0,0,1.6802956879276477e-17,26,26,0,2.1158390285409988e-05,0.020818095565315917,8.9226971153781959e-07,3.7327179661206652e-12,8.726530524117783e-11
2.5740765184294447e-17,175,5498.3470327725609,-2.368582982461131e-08,-8.740651736686789e-20,0,8.8410734515320498e-18,178.27904092408713,178.27904092408713,178.27904092408713,1.8925621680894774e-24,0.036413752400729547,-0.036413752400729547,0,0,1.6899689840200229e-17,27,27,0,2.1655762398702403e-05,0.023445645364190526,-1.3121432686118776e-07,3.7214261187516364e-12,9.0986731359929466e-11
