grid_search_id,criterion,max_features,min_samples_leaf,min_samples_split,rmse_val,mad_val,r2_val,comment
2024-01-02-10-27-50-859687,squared_error,sqrt,1,2,0.146846405968586,0.0697657105085467,0.750579367486127,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-27-55-523916,squared_error,sqrt,1,3,0.147569085523597,0.0687291386811187,0.748416001639136,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-28-00-286942,squared_error,sqrt,1,4,0.150098585183301,0.0721683998916246,0.743437333926556,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-28-04-618992,squared_error,sqrt,2,2,0.155024577014075,0.0780348263723352,0.731835345067123,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-28-09-119386,squared_error,sqrt,2,3,0.155617053757055,0.0798403908986528,0.72961404542005,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-28-13-348384,squared_error,sqrt,2,4,0.155929313926633,0.0823738558785052,0.729486794365032,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-28-17-672337,squared_error,sqrt,3,2,0.164851446019905,0.0919822093302454,0.704550738361776,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-28-21-730327,squared_error,sqrt,3,3,0.164777639959388,0.0933809637192863,0.704943564403862,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-28-25-827979,squared_error,sqrt,3,4,0.168639422606495,0.0976313242389221,0.693283826561361,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-28-29-891708,squared_error,log2,1,2,0.146646703088002,0.0703453178047959,0.750616242764151,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-28-34-696159,squared_error,log2,1,3,0.148803473904529,0.0695690429392343,0.74642321906988,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-28-39-286881,squared_error,log2,1,4,0.148954775215881,0.0720049141182788,0.745870899644138,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-28-43-280972,squared_error,log2,2,2,0.156736551205234,0.0822054103654158,0.727156656284866,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-28-47-413206,squared_error,log2,2,3,0.156735582101521,0.0810300336331036,0.727680551182651,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-28-52-005686,squared_error,log2,2,4,0.155666357537484,0.0804105231119251,0.73024714666586,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-28-56-094202,squared_error,log2,3,2,0.167547484291347,0.0974530439512373,0.696668368332345,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-29-00-220903,squared_error,log2,3,3,0.166464608101046,0.0966818048720945,0.699662889349146,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-29-04-568170,squared_error,log2,3,4,0.167166285148856,0.0945194891879714,0.697613990996086,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-29-08-496013,squared_error,1,1,2,0.140303748100636,0.0595238657107646,0.758978455131104,(best RMSE)Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-29-13-272244,squared_error,1,1,3,0.141759853406977,0.0602511458315684,0.7563318133458,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-29-17-720798,squared_error,1,1,4,0.142059206269825,0.0601680004358447,0.755241569575178,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-29-21-931758,squared_error,1,2,2,0.142424468286995,0.0607676942439961,0.756516961846124,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-29-26-297236,squared_error,1,2,3,0.143241247470001,0.0612835182612048,0.754345351274567,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-29-30-837420,squared_error,1,2,4,0.143587668121896,0.0615283901437438,0.753465847602008,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-29-35-034210,squared_error,1,3,2,0.146236458808551,0.0640767527401026,0.749365887005746,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-29-39-194132,squared_error,1,3,3,0.147348045433231,0.0644011334710336,0.746201610654234,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-29-43-326686,squared_error,1,3,4,0.146664270041338,0.0640924910716834,0.748009517987372,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-29-47-182153,squared_error,2,1,2,0.147598365831477,0.0680746057634808,0.749021630195806,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-29-51-533400,squared_error,2,1,3,0.146908074484142,0.0688767838470584,0.750257564165266,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-29-55-933445,squared_error,2,1,4,0.149199934597486,0.0717703639516873,0.745283968736637,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-30-00-030895,squared_error,2,2,2,0.156143807182191,0.0812516074685192,0.729046406588128,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-30-03-982167,squared_error,2,2,3,0.155945063772574,0.0802932171936251,0.729017099397147,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-30-08-118883,squared_error,2,2,4,0.157807288416086,0.0816338642218475,0.723814273650904,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-30-12-095439,squared_error,2,3,2,0.166437482384572,0.0951291264793749,0.700029487809451,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-30-16-058750,squared_error,2,3,3,0.165347190840568,0.0923931415522988,0.703060133644997,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-30-20-018149,squared_error,2,3,4,0.167233363806818,0.0960539768042868,0.69709603367694,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-30-23-856266,absolute_error,sqrt,1,2,0.149288554454621,0.0725960684872774,0.745548723212486,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-30-29-139792,absolute_error,sqrt,1,3,0.14974309290113,0.0728429332906663,0.743433954254037,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-30-34-232350,absolute_error,sqrt,1,4,0.151294889006699,0.0749192808533801,0.740876110169492,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-30-39-227888,absolute_error,sqrt,2,2,0.157115598737335,0.0829743304137372,0.726805548072306,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-30-44-615431,absolute_error,sqrt,2,3,0.158081680442445,0.0827461976638223,0.724152755392388,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-30-49-293912,absolute_error,sqrt,2,4,0.16040480031718,0.0886132686285015,0.717591289981698,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-30-54-077588,absolute_error,sqrt,3,2,0.166898702680055,0.0911845137470204,0.699206806968691,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-30-58-612823,absolute_error,sqrt,3,3,0.165292895168419,0.0908289179613698,0.70370013777466,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-31-03-334979,absolute_error,sqrt,3,4,0.167139455345344,0.0935452121278012,0.698229528691402,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-31-07-761261,absolute_error,log2,1,2,0.148519298474001,0.0690499321605549,0.74690453946469,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-31-13-059982,absolute_error,log2,1,3,0.150298746248714,0.0745571776502488,0.743182307725839,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-31-18-206772,absolute_error,log2,1,4,0.151584497230321,0.0749283116030135,0.740443197198905,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-31-23-269877,absolute_error,log2,2,2,0.155815903828629,0.0794755549627422,0.729546777735159,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-31-27-957417,absolute_error,log2,2,3,0.158797635457747,0.0836617780367917,0.722008960340783,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-31-32-682098,absolute_error,log2,2,4,0.159784732796485,0.0852924521001224,0.719579003860537,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-31-37-348756,absolute_error,log2,3,2,0.166163716003375,0.0934597390728614,0.701127860273715,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-31-41-758068,absolute_error,log2,3,3,0.167023653521318,0.0956097336627331,0.698696307603756,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-31-46-527657,absolute_error,log2,3,4,0.166078621126583,0.0948726387192338,0.700633356662328,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-31-51-391962,absolute_error,1,1,2,0.142099144809932,0.0603894714412485,0.755226110337906,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-31-57-252210,absolute_error,1,1,3,0.14170548010809,0.0599814027513662,0.757020351080048,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-32-03-372537,absolute_error,1,1,4,0.143126317229088,0.061193678750519,0.753517019478505,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-32-09-313243,absolute_error,1,2,2,0.143331059889666,0.0612952852852729,0.754509056868421,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-32-14-604011,absolute_error,1,2,3,0.143291187284854,0.0620351608481225,0.755120934125637,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-32-20-006801,absolute_error,1,2,4,0.142988714690515,0.0616030056007237,0.756108635374026,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-32-25-917043,absolute_error,1,3,2,0.145494044761412,0.0641440220102812,0.751321858585206,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-32-30-903202,absolute_error,1,3,3,0.145740345609102,0.0638349100208044,0.750994817371908,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-32-36-248255,absolute_error,1,3,4,0.146718920355254,0.0639692835488374,0.748404410507541,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-32-41-215951,absolute_error,2,1,2,0.149219938616206,0.0696523850042813,0.744910804996012,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-32-46-453296,absolute_error,2,1,3,0.149709846017624,0.0715364218634898,0.744295331178378,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-32-51-755092,absolute_error,2,1,4,0.152266017032655,0.0763163248946178,0.73786029636333,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-32-56-814661,absolute_error,2,2,2,0.15888084495416,0.0827030406428491,0.722273763716047,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-33-01-465065,absolute_error,2,2,3,0.157864473431658,0.0838193784384117,0.724569676981318,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-33-06-196717,absolute_error,2,2,4,0.157491030798298,0.083517198868904,0.725832311776232,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-33-10-881287,absolute_error,2,3,2,0.16599794894422,0.0905988025451841,0.701893770678919,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-33-15-358374,absolute_error,2,3,3,0.16675669162116,0.094448373531993,0.699273034347778,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-33-19-910527,absolute_error,2,3,4,0.165066752207685,0.0930587829842855,0.704480573833191,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-33-24-868415,friedman_mse,sqrt,1,2,0.146741749451659,0.0675195431259936,0.750539277362296,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-33-29-222707,friedman_mse,sqrt,1,3,0.14883131055561,0.0710216735042089,0.746153143110675,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-33-33-430159,friedman_mse,sqrt,1,4,0.148989530585896,0.0709691977709202,0.745994886754882,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-33-37-598052,friedman_mse,sqrt,2,2,0.156116689719347,0.0816648118109321,0.728871170107894,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-33-41-624983,friedman_mse,sqrt,2,3,0.156329926897681,0.0803953904339863,0.728500655957384,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-33-45-775236,friedman_mse,sqrt,2,4,0.156845763090954,0.0812284526653271,0.727511544216499,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-33-50-320255,friedman_mse,sqrt,3,2,0.165124569545751,0.0903014481968135,0.703333364312901,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-33-54-168151,friedman_mse,sqrt,3,3,0.167838225201218,0.0994456296023323,0.69562817834874,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-33-58-093390,friedman_mse,sqrt,3,4,0.166756536432595,0.0978600600203338,0.698689816432706,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-34-01-892482,friedman_mse,log2,1,2,0.146389776925683,0.0681733178138352,0.751657815423824,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-34-06-610109,friedman_mse,log2,1,3,0.147786613439523,0.070290344486201,0.748858133559572,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-34-11-035462,friedman_mse,log2,1,4,0.149827887694675,0.0707533248922682,0.743254581712235,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-34-15-356772,friedman_mse,log2,2,2,0.157417615724105,0.082198724841324,0.72523546056849,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-34-19-364034,friedman_mse,log2,2,3,0.155825896971033,0.0790610522971595,0.729863912911771,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-34-23-682070,friedman_mse,log2,2,4,0.157894601747785,0.0837597597331006,0.724571672311088,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-34-27-620371,friedman_mse,log2,3,2,0.167527357671913,0.0955105755988586,0.696613484514403,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-34-31-433527,friedman_mse,log2,3,3,0.167676612196665,0.0940245378730048,0.695945650877665,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-34-35-247302,friedman_mse,log2,3,4,0.16792420932101,0.0970305077968774,0.695338387319633,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-34-39-051467,friedman_mse,1,1,2,0.141826862533027,0.0598230607855494,0.754794708061447,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-34-43-478184,friedman_mse,1,1,3,0.141483180339868,0.0596326770407519,0.756236900904494,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-34-47-827102,friedman_mse,1,1,4,0.142823225120046,0.0606770375328693,0.753429421768278,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-34-52-369603,friedman_mse,1,2,2,0.143171337442353,0.0616342371162144,0.754595715514725,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-34-56-632214,friedman_mse,1,2,3,0.143687888626455,0.061658365156794,0.752939800688808,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-35-00-733551,friedman_mse,1,2,4,0.143937176595822,0.0621405138408201,0.753566386865473,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-35-04-801851,friedman_mse,1,3,2,0.146737574231985,0.0642899540125714,0.748142343082575,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-35-09-063572,friedman_mse,1,3,3,0.147305674575563,0.0638210713068923,0.746352990982932,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-35-12-989853,friedman_mse,1,3,4,0.146722696263367,0.064079972498341,0.747993582596084,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-35-16-910238,friedman_mse,2,1,2,0.146785769984816,0.0696080932998333,0.751311131390029,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-35-21-689517,friedman_mse,2,1,3,0.146657297789061,0.0701867658374151,0.751729285555318,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-35-25-959695,friedman_mse,2,1,4,0.149179584216509,0.0699531772637307,0.74587378070221,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
