grid_search_id,criterion,max_features,min_samples_leaf,min_samples_split,rmse_val,mad_val,r2_val,comment
2024-01-02-10-26-48-627814,squared_error,sqrt,1,2,0.142935024731233,0.0655465967777724,0.759626712074493,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-26-53-299531,squared_error,sqrt,1,3,0.142967868091504,0.0655280083686445,0.759210855156299,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-26-57-347704,squared_error,sqrt,1,4,0.143904955026872,0.0662219455844315,0.757800636861559,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-27-01-620075,squared_error,sqrt,2,2,0.144568496649107,0.0668875896142114,0.756097520131919,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-27-05-752197,squared_error,sqrt,2,3,0.144449494705923,0.0661203997065319,0.756427016490429,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-27-10-045153,squared_error,sqrt,2,4,0.145182519165666,0.0661447395213706,0.754831891163588,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-27-14-075260,squared_error,sqrt,3,2,0.147675677615201,0.0710219904523852,0.749350981213333,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-27-17-856055,squared_error,sqrt,3,3,0.14706695794449,0.0702093648411308,0.751394804100025,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-27-21-663571,squared_error,sqrt,3,4,0.146410407544046,0.0688976175059954,0.752791475886566,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-27-25-396131,squared_error,log2,1,2,0.1433007786126,0.0652020707877689,0.758200406905273,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-27-29-633245,squared_error,log2,1,3,0.142727499344938,0.06499729420482,0.759700174395583,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-27-33-765909,squared_error,log2,1,4,0.144423261312589,0.0659075385333279,0.755926890030609,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-27-37-795235,squared_error,log2,2,2,0.145010293331493,0.0665866626054297,0.755390694862614,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-27-42-225133,squared_error,log2,2,3,0.144358767035876,0.0678804318707587,0.756774517700082,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
2024-01-02-10-27-46-320207,squared_error,log2,2,4,0.14463669489319,0.0669686255164551,0.756326955251187,Train 1 to 200 test 200 to 250 using 02312.00004_data-filter/bm-dm-st-ue-uz-sorted-clean-normalized.
